12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
1288;AGRICULTURAL BANK OF CHINA LTD H;Equity;0,19;0,40;102 784 000,00;40 847 823,90;40 847 823,90;Financials;B60LZR6;CNE100000Q43;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2882;CATHAY FINANCIAL HOLDING LTD;Equity;0,19;1,37;29 605 710,00;40 621 393,55;40 621 393,55;Financials;6425663;TW0002882008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
386;CHINA PETROLEUM AND CHEMICAL CORP;Equity;0,18;0,44;91 090 800,00;40 079 434,85;40 079 434,85;Energy;6291819;CNE1000002Q2;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2319;CHINA MENGNIU DAIRY LTD;Equity;0,18;3,82;10 451 000,00;39 915 562,38;39 915 562,38;Consumer Staples;B01B1L9;KYG210961051;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
BAP;CREDICORP LTD;Equity;0,18;156,38;254 062,00;39 730 215,56;39 730 215,56;Financials;2232878;BMG2519Y1084;New York Stock Exchange Inc.;Peru;USD;USD;1,00
TLKM;TELEKOMUNIKASI INDONESIA;Equity;0,18;0,21;185 379 800,00;39 654 133,00;39 654 133,00;Communication;BD4T6W7;ID1000129000;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
ANG;ANGLOGOLD ASHANTI LTD;Equity;0,18;24,99;1 572 776,00;39 296 662,07;39 296 662,07;Materials;6565655;ZAE000043485;Johannesburg Stock Exchange;South Africa;USD;ZAR;17,12
051900;LG HOUSEHOLD & HEALTH CARE LTD;Equity;0,18;1 100,68;34 942,00;38 460 001,66;38 460 001,66;Consumer Staples;6344456;KR7051900009;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2308;DELTA ELECTRONICS INC;Equity;0,18;5,23;7 324 000,00;38 270 572,77;38 270 572,77;Information Technology;6260734;TW0002308004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
2382;SUNNY OPTICAL TECHNOLOGY LTD;Equity;0,18;14,17;2 690 500,00;38 117 817,83;38 117 817,83;Information Technology;B1YBT08;KYG8586D1097;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2222;SAUDI ARABIAN OIL;Equity;0,17;8,62;4 338 298,00;37 390 153,27;37 390 153,27;Energy;BJTM270;SA14TG012N13;Saudi Stock Exchange;Saudi Arabia;USD;SAR;3,75
2020;ANTA SPORTS PRODUCTS LTD;Equity;0,17;9,12;4 090 402,00;37 288 151,29;37 288 151,29;Consumer Discretionary;B1YVKN8;KYG040111059;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2313;SHENZHOU INTERNATIONAL GROUP LTD;Equity;0,17;12,32;2 999 400,00;36 959 871,49;36 959 871,49;Consumer Discretionary;B0MP1B0;KYG8087W1015;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2007;COUNTRY GARDEN HOLDINGS LTD;Equity;0,17;1,28;28 852 939,00;36 819 598,03;36 819 598,03;Real Estate;B1VKYN6;KYG245241032;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2884;E.SUN FINANCIAL HOLDING LTD;Equity;0,17;0,93;39 288 170,00;36 621 983,63;36 621 983,63;Financials;6433912;TW0002884004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
241;ALIBABA HEALTH INFORMATION TECH LT;Equity;0,17;2,66;13 676 000,00;36 439 452,39;36 439 452,39;Health Care;BRXVS60;BMG0171K1018;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2881;FUBON FINANCIAL HOLDING LTD;Equity;0,16;1,46;24 416 969,00;35 601 048,76;35 601 048,76;Financials;6411673;TW0002881000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
2688;ENN ENERGY HOLDINGS LTD;Equity;0,16;11,79;2 992 100,00;35 267 717,19;35 267 717,19;Utilities;6333937;KYG3066L1014;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
HKD;HKD CASH;Cash;0,16;12,90;273 055 558,00;35 232 520,61;35 232 520,61;Cash and/or Derivatives;--;--;--;Hong Kong;USD;HKD;7,75
1093;CSPC PHARMACEUTICAL GROUP LTD;Equity;0,16;1,99;17 624 000,00;35 111 103,08;35 111 103,08;Health Care;6191997;HK1093012172;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
MGLU3;MAGAZINE LUIZA SA;Equity;0,16;12,63;2 780 400,00;35 105 644,73;35 105 644,73;Consumer Discretionary;B4975P9;BRMGLUACNOR2;XBSP;Brazil;USD;BRL;5,06
175;GEELY AUTOMOBILE HOLDINGS LTD;Equity;0,16;1,55;22 064 000,00;34 277 049,33;34 277 049,33;Consumer Discretionary;6531827;KYG3777B1032;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
384;CHINA GAS HOLDINGS LTD;Equity;0,16;3,47;9 828 600,00;34 114 313,36;34 114 313,36;Utilities;6460794;BMG2109G1033;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
AOT.R;AIRPORTS OF THAILAND NON-VOTING DR;Equity;0,16;2,10;16 255 300,00;34 108 449,68;34 108 449,68;Industrials;6741206;TH0765010R16;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
GFNORTEO;GPO FINANCE BANORTE;Equity;0,16;3,49;9 742 856,00;33 998 999,74;33 998 999,74;Financials;2421041;MXP370711014;Bolsa Mexicana De Valores;Mexico;USD;MXN;22,44
SCC.R;SIAM CEMENT NON-VOTING DR PCL;Equity;0,16;11,56;2 939 000,00;33 965 361,96;33 965 361,96;Materials;6609928;TH0003010R12;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
ITC;ITC LTD;Equity;0,15;2,56;12 990 552,00;33 207 449,10;33 207 449,10;Consumer Staples;B0JGGP5;INE154A01025;National Stock Exchange Of India;India;USD;INR;75,85
1326;FORMOSA CHEMICALS & FIBRE CORP;Equity;0,15;2,50;13 274 090,00;33 204 243,60;33 204 243,60;Materials;6348715;TW0001326007;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
