12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
1093;CSPC PHARMACEUTICAL GROUP LTD;Equity;0,24;1,99;574 000,00;1 143 541,37;1 143 541,37;Health Care;6191997;HK1093012172;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2020;ANTA SPORTS PRODUCTS LTD;Equity;0,24;9,12;125 000,00;1 139 501,43;1 139 501,43;Consumer Discretionary;B1YVKN8;KYG040111059;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2688;ENN ENERGY HOLDINGS LTD;Equity;0,23;11,79;95 700,00;1 128 010,61;1 128 010,61;Utilities;6333937;KYG3066L1014;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2881;FUBON FINANCIAL HOLDING LTD;Equity;0,23;1,46;771 396,00;1 124 730,37;1 124 730,37;Financials;6411673;TW0002881000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
2313;SHENZHOU INTERNATIONAL GROUP LTD;Equity;0,23;12,32;91 100,00;1 122 572,61;1 122 572,61;Consumer Discretionary;B0MP1B0;KYG8087W1015;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
384;CHINA GAS HOLDINGS LTD;Equity;0,23;3,47;319 000,00;1 107 224,42;1 107 224,42;Utilities;6460794;BMG2109G1033;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2269;WUXI BIOLOGICS (CAYMAN) INCORPRATE;Equity;0,23;16,64;66 000,00;1 098 566,47;1 098 566,47;Health Care;BZ3C3R5;KYG970081090;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
AOT.R;AIRPORTS OF THAILAND NON-VOTING DR;Equity;0,23;2,10;516 400,00;1 083 560,65;1 083 560,65;Industrials;6741206;TH0765010R16;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
SCC.R;SIAM CEMENT NON-VOTING DR PCL;Equity;0,22;11,56;93 300,00;1 078 247,11;1 078 247,11;Materials;6609928;TH0003010R12;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
1326;FORMOSA CHEMICALS & FIBRE CORP;Equity;0,22;2,50;426 950,00;1 067 986,72;1 067 986,72;Materials;6348715;TW0001326007;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
ITC;ITC LTD;Equity;0,22;2,56;413 765,00;1 057 697,95;1 057 697,95;Consumer Staples;B0JGGP5;INE154A01025;National Stock Exchange Of India;India;USD;INR;75,85
914;ANHUI CONCH CEMENT LTD H;Equity;0,22;6,90;150 000,00;1 035 470,51;1 035 470,51;Materials;6080396;CNE1000001W2;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
