12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
CLX;CLOROX;Equity;0,13;205,12;337 835,00;69 296 715,20;69 296 715,20;Consumer Staples;2204026;US1890541097;New York Stock Exchange Inc.
PANW;PALO ALTO NETWORKS INC;Equity;0,13;221,85;311 594,00;69 127 128,90;69 127 128,90;Information Technology;B87ZMX0;US6974351057;New York Stock Exchange Inc.
CERN;CERNER CORP;Equity;0,13;66,96;1 027 399,00;68 794 637,04;68 794 637,04;Health Care;2185284;US1567821046;NASDAQ
FAST;FASTENAL;Equity;0,13;40,06;1 701 258,00;68 152 395,48;68 152 395,48;Industrials;2332262;US3119001044;NASDAQ
SPG;SIMON PROPERTY GROUP REIT INC;Equity;0,13;75,98;895 845,00;68 066 303,10;68 066 303,10;Real Estate;2812452;US8288061091;New York Stock Exchange Inc.
TEAM;ATLASSIAN PLC CLASS A;Equity;0,13;171,62;393 706,00;67 567 823,72;67 567 823,72;Information Technology;BZ09BD1;GB00BZ09BD16;NASDAQ
ICE;INTERCONTINENTAL EXCHANGE INC;Equity;0,13;93,26;719 566,00;67 106 725,16;67 106 725,16;Financials;BFSSDS9;US45866F1049;New York Stock Exchange Inc.
TT;TRANE TECHNOLOGIES PLC;Equity;0,13;90,39;740 156,00;66 902 700,84;66 902 700,84;Industrials;BK9ZQ96;IE00BK9ZQ967;New York Stock Exchange Inc.
ANTM;ANTHEM INC;Equity;0,12;265,74;243 825,00;64 794 055,50;64 794 055,50;Health Care;BSPHGL4;US0367521038;New York Stock Exchange Inc.
ALGN;ALIGN TECHNOLOGY INC;Equity;0,12;251,40;256 360,00;64 448 904,00;64 448 904,00;Health Care;2679204;US0162551016;NASDAQ
RNG;RINGCENTRAL INC CLASS A;Equity;0,12;261,88;244 599,00;64 055 586,12;64 055 586,12;Information Technology;BDZCRX3;US76680R2067;New York Stock Exchange Inc.
BAX;BAXTER INTERNATIONAL INC;Equity;0,12;83,97;746 045,00;62 645 398,65;62 645 398,65;Health Care;2085102;US0718131099;New York Stock Exchange Inc.
VFC;VF CORP;Equity;0,12;61,25;1 011 737,00;61 968 891,25;61 968 891,25;Consumer Discretionary;2928683;US9182041080;New York Stock Exchange Inc.
BMRN;BIOMARIN PHARMACEUTICAL INC;Equity;0,12;105,72;584 843,00;61 829 601,96;61 829 601,96;Health Care;2437071;US09061G1013;NASDAQ
OKTA;OKTA INC CLASS A;Equity;0,12;179,24;344 343,00;61 720 039,32;61 720 039,32;Information Technology;BDFZSP1;US6792951054;NASDAQ
TDG;TRANSDIGM GROUP INC;Equity;0,12;447,39;137 018,00;61 300 483,02;61 300 483,02;Industrials;B11FJK3;US8936411003;New York Stock Exchange Inc.
FTNT;FORTINET INC;Equity;0,12;130,34;468 445,00;61 057 121,30;61 057 121,30;Information Technology;B5B2106;US34959E1091;NASDAQ
XTSLA;BLK CSH FND TREASURY SL AGENCY;Money Market;0,12;1,00;60 994 000,00;60 994 000,00;60 994 000,00;Cash and/or Derivatives;--;US0669224778;--
CSX;CSX CORP;Equity;0,12;69,57;871 119,00;60 603 748,83;60 603 748,83;Industrials;2160753;US1264081035;NASDAQ
MKTX;MARKETAXESS HOLDINGS INC;Equity;0,11;492,79;121 386,00;59 817 806,94;59 817 806,94;Financials;B03Q9D0;US57060D1081;NASDAQ
MTD;METTLER TOLEDO INC;Equity;0,11;764,42;77 997,00;59 622 466,74;59 622 466,74;Health Care;2126249;US5926881054;New York Stock Exchange Inc.
CHD;CHURCH AND DWIGHT INC;Equity;0,11;73,08;809 813,00;59 181 134,04;59 181 134,04;Consumer Staples;2195841;US1713401024;New York Stock Exchange Inc.
KEYS;KEYSIGHT TECHNOLOGIES INC;Equity;0,11;95,67;616 756,00;59 005 046,52;59 005 046,52;Information Technology;BQZJ0Q9;US49338L1035;New York Stock Exchange Inc.
MSI;MOTOROLA SOLUTIONS INC;Equity;0,11;140,60;415 958,00;58 483 694,80;58 483 694,80;Information Technology;B5BKPQ4;US6200763075;New York Stock Exchange Inc.
ALXN;ALEXION PHARMACEUTICALS INC;Equity;0,11;109,30;530 141,00;57 944 411,30;57 944 411,30;Health Care;2036070;US0153511094;NASDAQ
SGEN;SEATTLE GENETICS INC;Equity;0,11;151,16;382 908,00;57 880 373,28;57 880 373,28;Health Care;2738127;US8125781026;NASDAQ
INFO;IHS MARKIT LTD;Equity;0,11;69,81;805 792,00;56 252 339,52;56 252 339,52;Industrials;BD0Q558;BMG475671050;New York Stock Exchange Inc.
CPRT;COPART INC;Equity;0,11;85,04;660 835,00;56 197 408,40;56 197 408,40;Industrials;2208073;US2172041061;NASDAQ
